run_id,algo,benchmark,seed,step,context,fitness,best_fitness,llm_queries,llm_queries_cum,time_ms,gen_progress,no_improve_steps,fitness_slope,pop_diversity,selected_model,improvement
baseline_toy_42,baseline,toy,42,0,none,0.0,0.0,1,1,0.18835067749023438,0.0,1,0.0,0.8,balanced_model,False
baseline_toy_42,baseline,toy,42,1,none,0.3592436845459131,0.3592436845459131,1,2,0.087738037109375,0.0006666666666666666,0,0.0,0.8,accurate_model,True
baseline_toy_42,baseline,toy,42,2,none,0.04485257632791294,0.3592436845459131,1,3,0.10418891906738281,0.0013333333333333333,1,0.1796218419735868,0.8,fast_model,False
baseline_toy_42,baseline,toy,42,3,none,0.10948185501486002,0.3592436845459131,1,4,0.07462501525878906,0.002,2,0.1077731053098874,0.8,balanced_model,False
baseline_toy_42,baseline,toy,42,4,none,0.10523399292248649,0.3592436845459131,1,5,0.1366138458251953,0.0026666666666666666,3,0.07184873689481294,1.0,balanced_model,False
baseline_toy_42,baseline,toy,42,5,none,0.1278339162570806,0.3592436845459131,1,6,0.09250640869140625,0.0033333333333333335,4,0.05132052635881427,0.9136211302519301,accurate_model,False
baseline_toy_42,baseline,toy,42,6,none,0.0,0.3592436845459131,1,7,0.08916854858398438,0.004,5,0.038490394770812605,1.0,balanced_model,False
baseline_toy_42,baseline,toy,42,7,none,0.09754168636095195,0.3592436845459131,1,8,0.09632110595703125,0.004666666666666667,6,0.029936973711268442,1.0,accurate_model,False
baseline_toy_42,baseline,toy,42,8,none,0.0,0.3592436845459131,1,9,0.08749961853027344,0.005333333333333333,7,0.02394957896928402,1.0,fast_model,False
baseline_toy_42,baseline,toy,42,9,none,0.0,0.3592436845459131,1,10,0.08988380432128906,0.006,8,0.019595110065903174,1.0,fast_model,False
baseline_toy_42,baseline,toy,42,10,none,0.0,0.3592436845459131,1,11,0.07987022399902344,0.006666666666666667,9,0.0,1.0,accurate_model,False
baseline_toy_42,baseline,toy,42,11,none,0.06062982184450459,0.3592436845459131,1,12,0.08535385131835938,0.007333333333333333,10,0.0,0.9134938124939899,fast_model,False
